State Fiscal Year Ending,District Code,District,Total Staffing,Intake/Case Maintenance,Services Program,Services Administration,Employment Programs,Medicaid Eligibility Determination and Payment Authorization,Medicaid Policy Planning and Administration,Training,Supplemental Nutrition Assistance Program,Child Support,Fraud and Abuse,Home Energy Assistance Program,Welfare Management System,Other Reimbursable Programs,TANF Funded Services,Administrative Overhead,Non-Administrative Local Program,Overall Overhead
2023,21,Herkimer,102,7,24,11,5,8,1,1,11,10,1,4,3,2,0,17,0,0
2023,20,Hamilton,13,0,0,5,0,2,0,0,2,1,0,0,0,0,0,3,0,0
2023,19,Greene,87,6,38,1,2,8,2,1,5,5,4,2,2,0,0,12,0,0
2023,18,Genesee,104,6,34,11,3,19,0,0,13,7,2,1,1,2,0,5,0,0
2023,01,Albany,365,32,141,7,17,20,1,3,18,18,6,9,0,2,0,38,42,12
2023,02,Allegany,99,7,27,7,6,5,1,0,12,13,3,4,1,0,0,12,0,0
2023,03,Broome,293,27,93,32,14,27,5,2,20,19,1,5,7,0,0,40,1,0
2023,04,Cattaraugus,178,28,56,4,10,20,0,0,22,14,2,4,0,3,0,14,0,0
2023,05,Cayuga,119,16,42,5,4,11,0,1,14,9,4,2,3,1,0,7,0,0
2023,06,Chautauqua,304,38,106,6,15,31,4,1,23,26,8,6,0,7,0,32,0,0
2023,07,Chemung,157,20,49,17,2,15,0,2,16,14,3,2,1,3,0,13,0,0
2023,08,Chenango,93,5,31,2,10,5,0,1,7,7,2,2,3,0,0,17,0,0
2023,09,Clinton,148,12,62,10,4,12,1,1,11,10,1,4,1,3,1,14,0,0
2023,10,Columbia,134,11,36,19,3,14,0,2,14,8,2,4,3,0,0,18,0,0
2023,11,Cortland,107,17,39,12,3,9,0,1,8,6,1,2,2,1,1,4,0,0
2023,12,Delaware,95,2,33,6,2,6,0,1,9,5,1,1,0,1,0,28,0,0
2023,13,Dutchess,333,26,87,42,5,29,0,2,30,32,6,6,1,0,1,66,0,0
2023,14,Erie,1188,157,309,133,94,83,0,5,124,84,55,38,0,5,3,94,4,0
2023,15,Essex,77,3,29,0,1,9,1,1,6,7,2,1,1,1,0,15,0,0
2023,16,Franklin,128,9,49,0,4,13,0,1,14,9,1,9,4,0,0,14,2,0
2023,17,Fulton,110,6,36,1,4,9,1,1,14,11,4,3,4,1,4,12,0,0
2023,66,New York City,18928,4391,2979,1699,255,1218,4,184,1433,446,399,15,2,6,47,31,2311,3506
2023,57,Yates,45,4,16,1,1,5,0,1,6,3,0,1,0,1,0,8,0,0
2023,56,Wyoming,60,8,12,2,1,10,0,0,7,5,1,1,1,3,4,0,0,5
2023,55,Westchester,924,151,354,45,35,104,8,2,62,52,15,10,6,0,1,79,0,0
2023,54,Wayne,123,17,43,7,1,20,0,1,14,8,1,3,1,0,0,7,0,0
2023,53,Washington,125,13,40,7,5,16,0,1,14,10,3,2,3,0,2,8,0,0
2023,52,Warren,129,12,38,3,4,21,0,3,11,9,3,3,1,1,7,12,0,0
2023,51,Ulster,274,24,128,8,1,43,0,1,18,21,3,6,2,0,0,19,0,0
2023,50,Tompkins,172,21,67,11,5,11,3,1,15,9,0,6,1,0,0,0,4,19
2023,49,Tioga,78,3,25,6,2,4,1,1,10,6,1,2,1,0,0,17,0,0
2023,48,Sullivan,156,12,65,1,3,14,0,1,12,12,6,7,4,0,4,14,0,1
2023,47,Suffolk,1242,183,488,14,19,177,24,1,121,82,14,13,3,4,0,97,0,0
2023,46,Steuben,181,24,65,4,7,12,0,1,17,20,3,3,1,2,0,21,0,0
2023,45,Seneca,56,5,24,0,0,8,0,1,5,5,1,1,1,0,0,5,0,1
2023,44,Schuyler,49,3,14,3,3,5,0,0,4,4,2,1,1,1,0,7,1,1
2023,43,Schoharie,74,4,26,9,2,7,0,1,6,5,1,4,0,0,0,8,0,0
2023,42,Schenectady,187,21,104,6,0,9,0,1,16,11,6,3,0,0,0,9,0,0
2023,41,Saratoga,194,19,64,12,4,30,1,1,23,16,4,7,2,3,0,8,0,0
2023,40,St. Lawrence,238,15,85,19,9,26,0,2,17,19,5,9,2,0,0,27,2,0
2023,39,Rockland,295,26,121,2,8,27,0,2,33,18,8,2,7,2,0,29,8,2
2023,38,Rensselaer,182,18,67,4,7,13,0,1,23,11,7,5,2,0,0,21,0,1
2023,36,Otsego,102,6,46,1,3,4,0,2,6,5,1,3,1,2,0,22,0,0
2022,18,Genesee,102,6,34,10,3,20,0,0,11,8,2,1,1,1,0,6,0,0
2022,2,Allegany,95,7,25,6,5,6,1,0,13,13,2,1,1,3,0,13,0,0
2022,09,Clinton,150,13,64,11,5,14,1,1,10,10,1,5,1,1,1,14,0,0
2022,08,Chenango,79,5,29,2,2,5,0,1,5,7,2,2,3,0,0,16,1,0
2022,07,Chemung,146,17,43,15,1,17,0,1,18,13,3,3,1,2,0,11,0,0
2022,06,Chautauqua,291,32,102,7,15,31,5,1,21,26,8,9,0,2,0,32,0,0
2022,1,Albany,396,42,149,7,21,20,1,3,16,20,8,6,0,10,0,40,42,12
2022,05,Cayuga,135,20,46,4,5,13,0,1,14,10,4,4,3,0,0,8,0,1
2022,04,Cattaraugus,174,29,55,5,10,19,0,0,21,14,2,5,0,2,0,12,0,0
2022,03,Broome,318,30,102,33,16,31,5,2,22,23,1,5,7,0,0,41,1,0
2022,02,Allegany,95,7,25,6,5,6,1,0,13,13,2,1,1,3,0,13,0,0
2022,01,Albany,396,42,149,7,21,20,1,3,16,20,8,6,0,10,0,40,42,12
2022,9,Clinton,150,13,64,11,5,14,1,1,10,10,1,5,1,1,1,14,0,0
2022,8,Chenango,79,5,29,2,2,5,0,1,5,7,2,2,3,0,0,16,1,0
2022,7,Chemung,146,17,43,15,1,17,0,1,18,13,3,3,1,2,0,11,0,0
2022,6,Chautauqua,291,32,102,7,15,31,5,1,21,26,8,9,0,2,0,32,0,0
2022,5,Cayuga,135,20,46,4,5,13,0,1,14,10,4,4,3,0,0,8,0,1
2022,4,Cattaraugus,174,29,55,5,10,19,0,0,21,14,2,5,0,2,0,12,0,0
2022,3,Broome,318,30,102,33,16,31,5,2,22,23,1,5,7,0,0,41,1,0
2022,66,New York City,20470,5086,3165,1837,267,1356,4,196,1549,378,480,16,2,9,53,35,2470,3569
2022,57,Yates,46,3,16,1,1,5,0,0,5,3,0,1,0,0,0,8,0,0
2022,56,Wyoming,75,8,12,3,2,12,0,3,9,7,2,1,1,4,5,0,0,6
2022,55,Westchester,912,134,343,43,48,108,8,1,74,52,16,6,4,0,1,74,0,0
2022,54,Wayne,127,18,47,7,1,19,0,1,13,8,2,2,2,0,0,6,0,0
2022,53,Washington,137,15,44,8,4,17,0,1,13,13,4,4,2,0,2,10,0,0
2022,52,Warren,123,14,35,3,2,21,0,4,11,10,3,1,0,3,5,12,0,0
2022,51,Ulster,267,23,124,6,2,42,0,1,17,21,3,6,2,0,0,21,0,0
2022,50,Tompkins,172,19,61,13,6,12,3,1,15,9,2,2,2,3,0,0,5,20
2022,49,Tioga,79,4,27,6,2,4,1,1,9,6,1,2,1,0,0,17,0,0
2022,48,Sullivan,158,11,64,1,3,14,0,1,14,12,6,3,3,5,3,14,0,1
2022,47,Suffolk,1295,194,473,22,20,201,26,1,122,94,16,11,4,14,0,97,0,0
2022,46,Steuben,180,18,62,6,9,15,0,1,17,20,4,3,1,3,0,23,0,0
2022,45,Seneca,59,4,29,0,0,6,1,1,6,4,1,1,1,0,0,5,0,0
2022,44,Schuyler,51,3,14,3,3,5,0,0,4,4,2,1,0,1,0,8,1,1
2022,43,Schoharie,74,5,27,6,2,7,0,1,6,5,1,1,1,3,0,10,0,0
2022,42,Schenectady,204,24,108,7,0,12,1,1,18,13,6,3,1,0,0,11,0,0
2022,41,Saratoga,199,18,69,13,4,32,1,1,24,17,4,2,2,5,0,8,1,0
2022,40,St. Lawrence,231,13,75,18,11,29,0,2,20,20,5,8,3,0,0,29,1,0
2022,39,Rockland,304,28,125,2,9,28,0,3,33,19,8,1,9,4,0,28,4,3
2022,38,Rensselaer,190,17,69,5,9,16,0,1,25,10,6,6,3,0,0,23,0,1
2022,37,Putnam,80,4,22,5,4,13,1,0,5,5,1,0,2,0,1,16,0,0
2022,36,Otsego,106,7,50,1,2,5,0,1,10,4,1,4,1,0,0,20,0,0
2022,35,Oswego,277,27,123,13,5,15,0,2,27,19,5,5,3,6,1,26,1,0
2022,34,Orleans,71,7,25,0,0,10,0,0,3,8,2,1,1,3,0,9,0,0
2022,33,Orange,389,60,145,34,0,34,0,2,28,25,9,4,10,0,0,36,0,2
2022,32,Ontario,139,12,47,14,9,14,0,11,9,12,1,1,0,2,1,4,0,0
2022,31,Onondaga,539,74,161,36,11,55,5,2,75,43,12,11,0,10,5,34,5,0
2022,30,Oneida,350,74,102,9,12,21,0,1,42,32,10,19,5,1,0,23,0,0
2022,29,Niagara,392,86,111,23,13,24,0,1,44,32,9,12,3,1,8,25,0,0
2022,28,Nassau,660,112,168,78,31,108,2,3,48,35,7,1,3,5,0,60,0,0
2022,27,Montgomery,105,4,30,1,4,11,2,1,13,9,3,0,2,5,0,21,0,0
2022,26,Monroe,832,184,313,31,32,49,0,4,81,46,19,17,7,1,17,23,8,0
2022,25,Madison,114,8,33,18,3,9,0,2,11,11,0,4,2,2,0,8,3,1
2022,24,Livingston,102,9,41,6,0,7,0,1,7,5,1,2,0,0,1,22,0,0
2022,23,Lewis,60,6,19,1,3,5,0,1,5,4,1,0,2,3,0,9,0,0
2022,22,Jefferson,190,18,73,7,3,14,0,1,28,12,4,1,3,6,0,17,1,0
2022,21,Herkimer,108,6,28,13,3,8,0,1,11,11,1,4,3,1,0,17,0,0
2022,20,Hamilton,12,0,0,4,0,2,0,0,1,1,0,1,0,0,0,3,0,0
2022,19,Greene,90,4,40,1,1,8,2,2,5,5,4,2,2,0,0,13,0,0
2022,17,Fulton,112,5,39,1,4,10,1,1,13,11,5,4,4,1,2,12,0,0
2022,16,Franklin,133,10,50,0,4,16,0,2,13,9,1,9,4,0,0,13,1,0
2022,15,Essex,79,3,27,0,1,10,2,1,6,8,2,1,2,0,0,15,0,0
2022,14,Erie,1190,163,291,137,92,90,0,4,132,86,54,38,0,1,3,93,5,0
2022,13,Dutchess,329,25,92,39,6,29,0,2,27,31,5,4,1,3,1,63,0,0
2022,12,Delaware,92,3,36,6,2,7,0,1,8,5,3,2,0,0,0,19,0,0
2022,11,Cortland,109,18,39,13,2,8,0,1,8,7,1,2,2,1,0,6,0,0
2022,10,Columbia,137,11,34,19,3,11,0,2,18,9,3,4,3,0,0,20,0,0
2021,09,Clinton,141,12,56,10,3,15,1,1,8,11,1,4,1,2,1,15,0,0
2021,66,New York City,21519,4439,3224,1842,864,1771,4,193,1385,596,809,16,2,17,59,46,2788,3466
2021,57,Yates,45,4,15,1,2,5,0,1,5,4,0,1,0,0,0,7,0,0
2021,56,Wyoming,77,9,13,2,2,13,0,1,10,6,2,2,1,2,6,0,0,7
2021,55,Westchester,935,152,349,42,47,106,8,1,71,53,22,6,3,1,1,72,0,0
2021,54,Wayne,138,19,46,7,2,26,0,1,14,9,2,3,2,0,0,7,0,0
2021,53,Washington,126,13,40,7,5,17,0,1,12,12,5,3,1,0,2,8,0,0
2021,52,Warren,120,14,38,3,2,22,0,0,11,10,3,3,0,0,3,10,0,0
2021,51,Ulster,280,26,130,6,2,42,0,1,20,20,3,5,2,0,0,22,0,0
2021,50,Tompkins,172,19,66,10,6,10,4,1,15,8,2,5,2,0,0,0,5,20
2021,1,Albany,410,50,155,7,24,20,1,3,15,24,8,11,0,1,0,38,42,11
2021,2,Allegany,97,7,26,5,5,7,1,0,13,13,2,3,1,1,0,12,0,0
2021,3,Broome,328,34,100,36,19,34,5,3,23,24,1,5,6,0,0,38,1,0
2021,4,Cattaraugus,175,26,55,5,11,19,0,0,22,14,2,6,0,2,0,13,0,0
2021,5,Cayuga,137,21,46,4,5,13,0,1,14,11,4,4,3,0,0,9,0,1
2021,6,Chautauqua,282,29,101,6,13,31,5,1,22,26,8,8,0,0,0,32,0,0
2021,7,Chemung,156,17,44,21,2,18,0,1,17,15,4,4,1,1,0,11,0,0
2021,8,Chenango,81,5,26,3,3,5,0,1,5,8,2,2,3,0,0,17,1,0
2021,9,Clinton,141,12,56,10,3,15,1,1,8,11,1,4,1,2,1,15,0,0
2021,01,Albany,410,50,155,7,24,20,1,3,15,24,8,11,0,1,0,38,42,11
2021,02,Allegany,97,7,26,5,5,7,1,0,13,13,2,3,1,1,0,12,0,0
2021,03,Broome,328,34,100,36,19,34,5,3,23,24,1,5,6,0,0,38,1,0
2021,04,Cattaraugus,175,26,55,5,11,19,0,0,22,14,2,6,0,2,0,13,0,0
2021,05,Cayuga,137,21,46,4,5,13,0,1,14,11,4,4,3,0,0,9,0,1
2021,06,Chautauqua,282,29,101,6,13,31,5,1,22,26,8,8,0,0,0,32,0,0
2021,07,Chemung,156,17,44,21,2,18,0,1,17,15,4,4,1,1,0,11,0,0
2021,08,Chenango,81,5,26,3,3,5,0,1,5,8,2,2,3,0,0,17,1,0
2021,49,Tioga,82,4,26,6,2,5,1,1,9,5,1,2,1,0,0,18,0,0
2021,48,Sullivan,164,11,64,3,2,14,0,1,16,12,7,8,3,0,2,19,0,1
2021,47,Suffolk,1336,213,471,24,21,217,27,1,130,99,17,13,5,1,0,98,0,0
2021,46,Steuben,183,21,60,7,7,15,0,1,16,22,4,5,0,0,0,24,0,0
2021,45,Seneca,61,4,30,0,0,5,1,1,5,6,1,1,1,0,0,7,0,0
2021,44,Schuyler,49,3,15,3,2,5,0,0,4,4,2,1,1,0,0,7,2,1
2021,43,Schoharie,74,5,26,6,2,7,0,0,6,6,1,3,1,1,0,10,0,0
2021,42,Schenectady,222,28,122,7,0,12,1,1,16,14,7,3,1,0,0,9,0,0
2021,41,Saratoga,203,16,72,13,3,30,1,1,24,19,4,7,3,1,0,8,1,0
2021,40,St. Lawrence,219,12,63,18,10,27,0,2,20,20,5,8,3,0,0,31,1,0
2021,39,Rockland,327,33,130,2,11,34,0,3,33,22,8,3,10,0,0,28,8,3
2021,38,Rensselaer,205,25,67,7,8,18,0,1,25,12,7,5,3,0,0,25,0,1
2021,37,Putnam,80,5,20,6,4,14,1,1,5,5,1,0,2,1,1,15,0,0
2021,36,Otsego,110,6,56,1,2,5,0,1,9,5,1,5,1,0,0,18,0,0
2021,35,Oswego,285,28,124,14,5,15,0,2,31,21,6,5,4,0,1,28,1,0
2021,34,Orleans,69,7,24,0,0,10,0,0,3,9,2,2,1,1,0,10,0,0
2021,33,Orange,408,66,150,35,0,35,0,2,31,26,8,4,11,0,0,37,1,2
2021,32,Ontario,140,17,45,15,10,14,0,4,10,12,1,2,0,1,2,6,0,0
2021,31,Onondaga,571,81,172,37,13,61,8,1,83,47,14,9,0,0,5,34,6,0
2021,30,Oneida,375,78,111,13,15,22,0,1,42,34,10,18,8,0,0,24,0,0
2021,29,Niagara,385,85,107,21,14,25,0,1,42,31,9,14,3,1,8,26,0,0
2021,28,Nassau,697,129,212,53,16,108,1,4,57,40,8,0,3,0,0,65,0,0
2021,27,Montgomery,101,5,28,2,4,11,2,1,14,8,3,3,2,0,0,18,0,0
2021,26,Monroe,839,173,335,28,20,61,0,5,73,49,19,18,7,1,15,30,4,0
2021,25,Madison,117,9,34,19,3,10,0,2,11,11,0,6,2,0,0,8,2,1
2021,24,Livingston,107,17,43,6,0,6,0,1,3,5,0,2,0,0,1,23,0,0
2021,23,Lewis,56,4,16,1,2,5,0,1,7,4,1,2,2,1,0,9,0,0
2021,22,Jefferson,192,16,72,5,4,13,0,1,33,13,3,7,3,0,0,22,1,0
2021,21,Herkimer,109,7,26,14,5,9,0,1,12,11,1,4,3,0,0,16,0,0
2021,20,Hamilton,10,0,0,3,0,1,0,0,1,1,0,1,0,0,0,3,0,0
2021,19,Greene,87,4,37,1,1,7,2,1,6,5,5,2,2,0,0,14,0,0
2021,18,Genesee,101,6,34,9,3,21,0,0,11,7,2,1,1,1,0,6,0,0
2021,17,Fulton,110,5,39,1,3,10,1,1,11,9,5,5,5,0,1,13,0,0
2021,16,Franklin,135,11,52,0,4,17,0,2,12,10,2,9,5,0,0,12,1,0
2021,15,Essex,85,3,30,1,2,11,2,1,5,9,3,2,2,0,0,15,0,0
2021,14,Erie,1166,157,308,134,93,90,0,3,120,81,50,35,0,1,3,84,6,0
2021,13,Dutchess,348,28,98,42,6,33,0,2,28,36,7,7,0,0,1,60,0,0
2021,12,Delaware,92,3,35,6,1,8,0,1,9,5,3,2,0,0,0,19,0,0
2021,11,Cortland,109,17,41,11,2,8,0,1,8,8,1,3,2,0,0,6,0,0
2021,10,Columbia,146,11,37,18,4,12,0,2,17,11,4,3,3,0,0,22,0,0
2020,18,Genesee,103,6,35,8,3,21,0,0,12,7,2,1,1,1,0,5,0,0
2020,16,Franklin,141,11,56,1,5,19,0,1,11,11,2,8,6,0,0,10,0,0
2020,15,Essex,90,4,34,1,2,11,2,1,6,9,2,2,2,0,0,14,0,0
2020,14,Erie,1309,167,316,152,106,105,0,5,137,89,64,40,0,1,4,119,6,0
2020,13,Dutchess,367,34,102,45,4,36,0,2,25,38,9,8,2,0,0,64,0,0
2020,12,Delaware,92,3,35,6,2,10,1,1,7,5,3,1,0,0,0,17,0,0
2020,11,Cortland,122,20,45,11,4,9,0,1,8,10,2,3,2,0,1,6,0,0
2020,10,Columbia,153,10,39,19,4,16,0,2,16,12,6,4,3,0,0,23,0,0
2020,09,Clinton,167,15,65,11,6,18,1,1,11,13,2,5,1,2,1,17,0,0
2020,08,Chenango,88,6,28,2,3,6,0,1,6,8,3,2,3,0,0,20,1,0
2020,07,Chemung,169,16,47,23,2,21,0,1,19,16,4,5,1,1,0,13,0,0
2020,06,Chautauqua,293,34,96,6,17,31,4,1,22,28,7,7,0,8,0,31,0,0
2020,05,Cayuga,140,22,49,4,5,13,0,1,15,12,4,3,3,0,0,8,0,1
2020,04,Cattaraugus,176,23,55,5,13,19,0,0,22,16,2,4,1,2,0,14,0,0
2020,03,Broome,335,36,99,37,20,37,6,3,22,25,1,4,6,0,0,37,1,0
2020,02,Allegany,99,9,26,5,6,8,1,0,12,14,2,4,0,0,0,12,0,0
2020,01,Albany,435,55,159,12,27,22,1,3,19,25,8,10,0,2,0,36,47,9
2020,66,New York City,21519,4439,3224,1842,864,1771,4,193,1385,596,809,16,2,17,59,46,2788,3466
2020,57,Yates,44,4,15,1,2,5,0,0,5,3,0,0,0,0,0,7,0,0
2020,56,Wyoming,77,10,15,3,3,12,0,1,10,7,2,1,1,1,5,0,0,6
2020,55,Westchester,1006,159,343,76,57,120,9,1,71,52,28,5,1,1,1,81,0,0
2020,54,Wayne,142,19,46,6,2,30,0,1,14,10,2,2,2,0,0,8,0,0
2020,53,Washington,126,12,37,8,5,18,0,1,12,12,5,4,2,0,3,7,0,0
2020,52,Warren,121,12,36,4,3,24,0,1,10,9,3,4,0,0,4,11,0,0
2020,51,Ulster,298,29,138,7,4,45,0,1,20,21,4,5,2,0,0,22,0,0
2020,50,Tompkins,160,20,61,8,6,11,4,1,15,8,2,4,2,0,0,0,3,17
2020,49,Tioga,85,3,27,6,2,6,1,3,8,6,1,3,1,0,0,18,0,0
2020,48,Sullivan,175,13,67,3,3,14,0,1,17,11,8,9,4,0,2,21,0,1
2020,47,Suffolk,1378,240,456,26,21,226,30,1,130,104,17,10,6,2,0,110,0,0
2020,46,Steuben,187,14,59,6,10,18,0,1,17,22,6,4,1,0,0,30,0,0
2020,45,Seneca,70,5,37,0,0,5,1,1,5,7,1,1,1,0,0,7,0,0
2020,44,Schuyler,53,3,15,3,3,5,0,0,4,4,2,1,1,0,0,8,2,1
2020,43,Schoharie,74,3,25,4,2,10,0,0,5,6,2,2,1,0,0,12,0,0
2020,42,Schenectady,214,29,115,7,0,13,1,0,16,13,6,2,1,0,0,10,0,0
2020,41,Saratoga,207,16,72,13,4,32,1,1,26,20,4,6,4,1,0,8,0,0
2020,40,St. Lawrence,220,15,61,18,10,27,0,2,17,21,5,7,3,0,0,34,1,0
2020,39,Rockland,341,36,141,2,12,33,0,2,29,23,10,1,10,0,0,28,9,3
2020,38,Rensselaer,222,29,75,9,9,21,0,2,20,13,7,6,5,0,0,24,0,1
2020,37,Putnam,80,4,20,5,4,15,1,0,5,5,1,0,3,1,1,15,0,0
2020,36,Otsego,123,8,62,1,6,7,0,1,7,5,1,4,2,1,0,18,0,0
2020,35,Oswego,290,27,124,14,5,16,0,2,32,22,7,6,4,1,1,28,1,0
2020,34,Orleans,75,7,27,0,0,11,0,0,4,9,2,2,1,1,0,10,0,0
2020,33,Orange,428,72,153,37,0,35,0,3,32,28,12,4,13,1,0,37,1,2
